TOP OVERALL SCORES (GRADE 7-12)

Rank, Project Number, Grade, Avg Score, Category, Number of judges
1,46,8,49.0,Biology,3
2,128,10,49.0,Physics/Math,3
3,33,12,47.5,Biology,4
4,167,11,47.333333333333336,Biology,3
5,2,12,47.333333333333336,Biology,3
6,34,12,46.0,Biology,2
7,99,11,45.5,Energy-Engineering-Geology-Envi,2
8,28,11,45.0,Biology,2
9,133,10,45.0,Physics/Math,3
10,47,12,44.666666666666664,Biology,3
11,103,10,44.666666666666664,Energy-Engineering-Geology-Envi,3
12,69,8,44.5,Chemistry,4
13,146,10,44.25,Social Sciences,4
14,38,11,44.0,Biology,3
15,76,9,44.0,Chemistry,3
16,102,10,43.0,Energy-Engineering-Geology-Envi,3
17,39,10,42.75,Biology,4
18,91,8,42.5,Energy-Engineering-Geology-Envi,2
19,89,12,42.333333333333336,Energy-Engineering-Geology-Envi,3
20,40,9,42.0,Biology,3
21,68,10,42.0,Chemistry,3
22,147,11,42.0,Social Sciences,3
23,37,11,42.0,Biology,3
24,152,9,42.0,Social Sciences,3
25,94,11,41.666666666666664,Energy-Engineering-Geology-Envi,3
26,143,10,41.666666666666664,Social Sciences,3
27,1,8,41.666666666666664,Biology,3
28,17,9,41.333333333333336,Biology,3
29,14,11,41.333333333333336,Biology,3
30,5,7,40.666666666666664,Biology,3
31,43,10,40.333333333333336,Biology,3
32,105,9,40.0,Energy-Engineering-Geology-Envi,3
33,32,9,39.666666666666664,Biology,3
34,25,10,39.666666666666664,Biology,3
35,31,11,39.666666666666664,Biology,3
36,41,11,39.333333333333336,Biology,3
37,26,9,39.333333333333336,Biology,3
38,8,10,39.25,Biology,4
39,138,10,39.0,Social Sciences,4
40,140,11,39.0,Social Sciences,3
41,73,9,39.0,Chemistry,1
42,100,12,38.666666666666664,Energy-Engineering-Geology-Envi,3
43,88,10,38.666666666666664,Energy-Engineering-Geology-Envi,3
44,24,11,38.666666666666664,Biology,3
45,67,9,38.333333333333336,Chemistry,3
46,18,9,38.0,Biology,3
47,70,11,38.0,Chemistry,2
48,58,9,38.0,Chemistry,3
49,153,9,38.0,Social Sciences,3
50,30,11,37.666666666666664,Biology,3
51,95,10,37.666666666666664,Energy-Engineering-Geology-Envi,3
52,54,10,37.5,Biology,2
53,75,10,37.333333333333336,Chemistry,3
54,65,10,37.0,Chemistry,3
55,86,10,37.0,Energy-Engineering-Geology-Envi,3
56,104,9,37.0,Energy-Engineering-Geology-Envi,3
57,52,9,36.666666666666664,Biology,3
58,27,10,36.666666666666664,Biology,3
59,64,8,36.666666666666664,Chemistry,3
60,158,11,36.333333333333336,Social Sciences,3
61,72,9,36.0,Chemistry,2
62,139,9,36.0,Social Sciences,3
63,4,8,36.0,Biology,3
64,161,11,36.0,Social Sciences,3
65,51,11,35.666666666666664,Biology,3
66,48,11,35.333333333333336,Biology,3
67,92,10,35.333333333333336,Energy-Engineering-Geology-Envi,3
68,150,9,35.333333333333336,Social Sciences,3
69,36,9,35.0,Biology,3
70,44,9,34.666666666666664,Biology,3
71,50,9,34.666666666666664,Biology,3
72,97,9,34.666666666666664,Energy-Engineering-Geology-Envi,3
73,165,10,34.333333333333336,Chemistry,3
74,77,9,34.333333333333336,Chemistry,3
75,87,11,34.333333333333336,Energy-Engineering-Geology-Envi,3
76,71,9,34.333333333333336,Chemistry,3
77,163,10,34.333333333333336,Social Sciences,3
78,80,9,34.0,Energy-Engineering-Geology-Envi,3
79,159,9,33.666666666666664,Chemistry,3
80,136,7,33.333333333333336,Social Sciences,3
81,98,9,33.333333333333336,Energy-Engineering-Geology-Envi,3
82,149,9,33.333333333333336,Social Sciences,3
83,21,11,33.333333333333336,Biology,3
84,166,11,33.0,Chemistry,1
85,93,10,33.0,Energy-Engineering-Geology-Envi,1
86,45,11,33.0,Biology,3
87,63,10,33.0,Chemistry,3
88,20,8,33.0,Biology,3
89,141,8,33.0,Social Sciences,2
90,3,11,33.0,Biology,3
91,22,11,32.666666666666664,Biology,3
92,122,10,32.666666666666664,Physics/Math,3
93,148,9,32.666666666666664,Social Sciences,3
94,115,10,32.5,Physics/Math,2
95,15,10,32.5,Physics/Math,4
96,56,9,32.333333333333336,Biology,3
97,55,10,32.333333333333336,Biology,3
98,61,9,32.0,Chemistry,3
99,90,11,32.0,Energy-Engineering-Geology-Envi,4
100,78,9,32.0,Chemistry,3
101,23,9,31.666666666666668,Biology,3
102,7,9,31.5,Biology,2
103,35,9,31.333333333333332,Biology,3
104,96,10,31.333333333333332,Energy-Engineering-Geology-Envi,3
105,101,9,31.333333333333332,Energy-Engineering-Geology-Envi,3
106,132,9,31.333333333333332,Physics/Math,3
107,9,10,31.0,Biology,3
108,164,10,30.666666666666668,Physics/Math,3
109,19,9,30.666666666666668,Biology,3
110,59,9,30.0,Chemistry,3
111,79,7,30.0,Energy-Engineering-Geology-Envi,3
112,117,10,29.666666666666668,Physics/Math,3
113,42,10,29.333333333333332,Biology,3
114,156,11,29.333333333333332,Social Sciences,3
115,116,10,29.0,Physics/Math,3
116,57,9,29.0,Chemistry,3
117,11,9,28.8,Biology,5
118,135,9,28.666666666666668,Physics/Math,3
119,160,9,28.666666666666668,Chemistry,3
120,74,9,28.666666666666668,Chemistry,3
121,12,9,28.666666666666668,Biology,3
122,16,9,28.333333333333332,Biology,3
123,123,9,28.25,Physics/Math,4
124,154,9,28.0,Social Sciences,3
125,53,9,27.5,Biology,4
126,110,9,27.333333333333332,Physics/Math,3
127,66,9,27.333333333333332,Chemistry,3
